Ico;Rok;Obdobie od;Obdobie do;Nazov;Odvetvie;SK Nace;Kategória zamestnancov(zo Štatistického úradu);Presný počet zamestnancov(z účtovnej závierky);Mesto;Okres;Kraj;Právna forma – kód;Právna forma;AktivaBrutto-1;AktivaCorr-1;Aktiva-1;AktivaPrev-1;AktivaBrutto-2;AktivaCorr-2;Aktiva-2;AktivaPrev-2;AktivaBrutto-3;AktivaCorr-3;Aktiva-3;AktivaPrev-3;AktivaBrutto-4;AktivaCorr-4;Aktiva-4;AktivaPrev-4;AktivaBrutto-5;AktivaCorr-5;Aktiva-5;AktivaPrev-5;AktivaBrutto-6;AktivaCorr-6;Aktiva-6;AktivaPrev-6;AktivaBrutto-7;AktivaCorr-7;Aktiva-7;AktivaPrev-7;AktivaBrutto-8;AktivaCorr-8;Aktiva-8;AktivaPrev-8;AktivaBrutto-9;AktivaCorr-9;Aktiva-9;AktivaPrev-9;AktivaBrutto-10;AktivaCorr-10;Aktiva-10;AktivaPrev-10;AktivaBrutto-11;AktivaCorr-11;Aktiva-11;AktivaPrev-11;AktivaBrutto-12;AktivaCorr-12;Aktiva-12;AktivaPrev-12;AktivaBrutto-13;AktivaCorr-13;Aktiva-13;AktivaPrev-13;AktivaBrutto-14;AktivaCorr-14;Aktiva-14;AktivaPrev-14;AktivaBrutto-15;AktivaCorr-15;Aktiva-15;AktivaPrev-15;AktivaBrutto-16;AktivaCorr-16;Aktiva-16;AktivaPrev-16;AktivaBrutto-17;AktivaCorr-17;Aktiva-17;AktivaPrev-17;AktivaBrutto-18;AktivaCorr-18;Aktiva-18;AktivaPrev-18;AktivaBrutto-19;AktivaCorr-19;Aktiva-19;AktivaPrev-19;AktivaBrutto-20;AktivaCorr-20;Aktiva-20;AktivaPrev-20;AktivaBrutto-21;AktivaCorr-21;Aktiva-21;AktivaPrev-21;AktivaBrutto-22;AktivaCorr-22;Aktiva-22;AktivaPrev-22;AktivaBrutto-23;AktivaCorr-23;Aktiva-23;AktivaPrev-23;AktivaBrutto-24;AktivaCorr-24;Aktiva-24;AktivaPrev-24;AktivaBrutto-25;AktivaCorr-25;Aktiva-25;AktivaPrev-25;AktivaBrutto-26;AktivaCorr-26;Aktiva-26;AktivaPrev-26;AktivaBrutto-27;AktivaCorr-27;Aktiva-27;AktivaPrev-27;AktivaBrutto-28;AktivaCorr-28;Aktiva-28;AktivaPrev-28;AktivaBrutto-29;AktivaCorr-29;Aktiva-29;AktivaPrev-29;AktivaBrutto-30;AktivaCorr-30;Aktiva-30;AktivaPrev-30;AktivaBrutto-31;AktivaCorr-31;Aktiva-31;AktivaPrev-31;AktivaBrutto-32;AktivaCorr-32;Aktiva-32;AktivaPrev-32;AktivaBrutto-33;AktivaCorr-33;Aktiva-33;AktivaPrev-33;AktivaBrutto-34;AktivaCorr-34;Aktiva-34;AktivaPrev-34;AktivaBrutto-35;AktivaCorr-35;Aktiva-35;AktivaPrev-35;AktivaBrutto-36;AktivaCorr-36;Aktiva-36;AktivaPrev-36;AktivaBrutto-37;AktivaCorr-37;Aktiva-37;AktivaPrev-37;AktivaBrutto-38;AktivaCorr-38;Aktiva-38;AktivaPrev-38;AktivaBrutto-39;AktivaCorr-39;Aktiva-39;AktivaPrev-39;AktivaBrutto-40;AktivaCorr-40;Aktiva-40;AktivaPrev-40;AktivaBrutto-41;AktivaCorr-41;Aktiva-41;AktivaPrev-41;AktivaBrutto-42;AktivaCorr-42;Aktiva-42;AktivaPrev-42;AktivaBrutto-43;AktivaCorr-43;Aktiva-43;AktivaPrev-43;AktivaBrutto-44;AktivaCorr-44;Aktiva-44;AktivaPrev-44;AktivaBrutto-45;AktivaCorr-45;Aktiva-45;AktivaPrev-45;AktivaBrutto-46;AktivaCorr-46;Aktiva-46;AktivaPrev-46;AktivaBrutto-47;AktivaCorr-47;Aktiva-47;AktivaPrev-47;AktivaBrutto-48;AktivaCorr-48;Aktiva-48;AktivaPrev-48;AktivaBrutto-49;AktivaCorr-49;Aktiva-49;AktivaPrev-49;AktivaBrutto-50;AktivaCorr-50;Aktiva-50;AktivaPrev-50;AktivaBrutto-51;AktivaCorr-51;Aktiva-51;AktivaPrev-51;AktivaBrutto-52;AktivaCorr-52;Aktiva-52;AktivaPrev-52;AktivaBrutto-53;AktivaCorr-53;Aktiva-53;AktivaPrev-53;AktivaBrutto-54;AktivaCorr-54;Aktiva-54;AktivaPrev-54;AktivaBrutto-55;AktivaCorr-55;Aktiva-55;AktivaPrev-55;AktivaBrutto-56;AktivaCorr-56;Aktiva-56;AktivaPrev-56;AktivaBrutto-57;AktivaCorr-57;Aktiva-57;AktivaPrev-57;AktivaBrutto-58;AktivaCorr-58;Aktiva-58;AktivaPrev-58;AktivaBrutto-59;AktivaCorr-59;Aktiva-59;AktivaPrev-59;AktivaBrutto-60;AktivaCorr-60;Aktiva-60;AktivaPrev-60;AktivaBrutto-61;AktivaCorr-61;Aktiva-61;AktivaPrev-61;AktivaBrutto-62;AktivaCorr-62;Aktiva-62;AktivaPrev-62;AktivaBrutto-63;AktivaCorr-63;Aktiva-63;AktivaPrev-63;AktivaBrutto-64;AktivaCorr-64;Aktiva-64;AktivaPrev-64;AktivaBrutto-65;AktivaCorr-65;Aktiva-65;AktivaPrev-65;Predchádzajúce obdobie od;Predchádzajúce obdobie do;
00000426;2008;2008-01-01;2008-12-31;"Moldavský recyklačný podnik, š.p. Moldava nad Bodvou";"Kovovýroba a hutníctvo";"Výroba zbraní a munície [25400]";nezistený;;"Moldava nad Bodvou";"Košice-okolie";Košický;301;"Štátny podnik";;;3625833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85555;;;;;;;;14021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00007838;2008;2008-01-01;2008-12-31;"Rudné bane, štátny podnik";"Nehnuteľnosti";"Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností [68200]";10-19 zamestnancov;;"Banská Štiavnica";"Banská Štiavnica";Banskobystrický;301;"Štátny podnik";;;3295238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76026;;;;;;;;1839600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00010448;2008;2008-01-01;2008-12-31;"Mincovňa Kremnica, štátny podnik";"Výroba - ostatné";"Razenie mincí [32110]";200-249 zamestnancov;;"Kremnica";"Žiar nad Hronom";Banskobystrický;301;"Štátny podnik";;;8888601;4729138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;6750149;910277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00057380;2008;2008-01-01;2008-12-31;"Technický skúšobný ústav Piešťany, š.p.";"Vývoj a testovanie";"Technické testovanie a analýzy [71200]";nezistený;;"Piešťany";"Piešťany";Trnavský;301;"Štátny podnik";;;3311790;3401049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;1576114;1623913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00156752;2008;2008-01-01;2008-12-31;"VODOHOSPODÁRSKA VÝSTAVBA, ŠTÁTNY PODNIK";"Energie a ťažba";"Výroba elektriny [35110]";250-499 zamestnancov;;"Bratislava - mestská časť Karlova Ves";"Bratislava IV";Bratislavský;301;"Štátny podnik";;;1258279539;1262792571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22829054;21424517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00165476;2008;2008-01-01;2008-12-31;"Špecializovaný liečebný ústav Marína,  štátny podnik";"Zdravotníctvo";"Ostatná zdravotná starostlivosť i. n. [86909]";100-149 zamestnancov;;"Kováčová";"Zvolen";Banskobystrický;301;"Štátny podnik";;;2976503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1160863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;882779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00492531;2008;0001-01-01;0001-01-01;"Lesopoľnohospodársky majetok Ulič, štátny  podnik";"Poľnohospodárstvo a lesníctvo";"Ťažba dreva [02200]";nezistený;;"Ulič";"Snina";Prešovský;301;"Štátny podnik";;;27665790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2243648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;884130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00492736;2008;2008-01-01;2008-12-31;"Dopravný podnik Bratislava, akciová spoločnosť";"Doprava a logistika";"Mestská alebo prímestská osobná pozemná doprava [49310]";2000-2999 zamestnancov;2427;"Bratislava";"Bratislava I";Bratislavský;121;"Akc. spol.";;;116741187;114451305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;4899788;1910675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00604054;2008;2008-01-01;2008-12-31;"Burza cenných papierov v Bratislave, a.s.";"Financie";"Správa finančných trhov [66110]";10-19 zamestnancov;16;"Bratislava";"Bratislava I";Bratislavský;121;"Akc. spol.";;;12384220;12272057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;2519020;2487585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00613797;2008;2008-10-01;2009-09-30;"OSRAM, a.s.";"Elektrotechnika";"Výroba elektrických svietidiel [27400]";500-999 zamestnancov;;"Nové Zámky";"Nové Zámky";Nitriansky;121;"Akc. spol.";;;46056818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
